Public Food Key,Name,Description
F007045,"Pork, medallion or loin steak, separable fat, fried, no added fat","Cooked internal and external separable fat from the midsection of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small of pork fat, then dissected."
F007049,"Pork, medallion or loin steak, lean, raw","Raw lean muscle meat from the midsection of the carcase, with all possible internal and external separable fat removed."
F007048,"Pork, medallion or loin steak, lean, fried, no added fat","Cooked pork from the midsection of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small of pork fat. All possible internal and external separable fat removed after cooking."
F007043,"Pork, medallion or loin steak, untrimmed, raw","Raw pork from the midsection of the carcase, as purchased without removal of internal and external fat."
F007042,"Pork, medallion or loin steak, untrimmed, fried, no added fat","Cooked pork from the midsection of the carcase, as purchased without removal of internal and external fat. Fried with no added fat."
F007057,"Pork, mince, untrimmed, raw","Raw lean pork mince, as purchased, likely to be from leg or shoulder."
F007055,"Pork, mince, as purchased, fried, no added fat","Cooked lean pork mince, as purchased, likely to be from leg or shoulder. Fried with no added fat."
F007074,"Pork, round mini roast, separable fat, raw",Raw internal and external fat from the hind portion of the carcase.
F007073,"Pork, round mini roast, separable fat, baked, no added fat","Cooked internal and external separable fat from the hind portion of the carcase. Oven baked, as purchased, at 180 degrees celsius to an internal temperature of 75 degrees celsius, then dissected."
F007077,"Pork, round mini roast, lean, raw","Raw lean muscle meat from the hind portion of the carcase, with all possible internal and external separable fat removed."
F007076,"Pork, round mini roast, lean, baked, no added fat",Cooked pork from the hind portion of the carcase. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat. All possible internal and external separable fat removed after cooking.
F007072,"Pork, round mini roast, untrimmed, raw","Raw pork from the hind portion of the carcase, as purchased without removal of internal and external fat."
F007071,"Pork, round mini roast, untrimmed, baked, no added fat","Cooked pork from the hind portion of the carcase, as purchased without removal of internal and external fat. Oven baked at 180 degrees celsius to an internal temperature of 75 degrees celsius with no added fat."
F007080,"Pork, round steak, lean, raw","Raw lean muscle meat from the hind portion of the carcase, as purchased with no separable fat."
F007079,"Pork, round steak, lean, fried, no added fat","Cooked lean muscle meat from the hind portion of the carcase, as purchased with no separable fat. Fried to an internal temperature of 70 degrees celsius with a small amount of pork fat."
F007085,"Pork, rump steak, lean, raw","Raw lean muscle meat from the hind portion of the carcase, with all possible internal and external separable fat removed."
F007084,"Pork, rump steak, lean, fried, no added fat",Cooked lean muscle meat from the hind portion of the carcase. Fried to an internal temperature of 70 degrees celsius with a small amount of pork fat. All possible internal and external separable fat removed.
F007082,"Pork, rump steak, untrimmed, raw","Raw pork from the hind portion of the carcase, as purchased with no internal and external separable fat removed."
F007081,"Pork, rump steak, untrimmed, fried, no added fat","Cooked pork from the hind portion of the carcase, as purchased with no internal and external separable fat removed. Fried with no added fat."
F007092,"Pork, scotch roast, separable fat, raw",Raw internal and external separable fat from the forequarter of the carcase.
F007091,"Pork, scotch roast, separable fat, baked, no added fat","Cooked internal and external separable fat from the forequarter of the carcase. Oven baked, as purchased, at 180 degrees celsius to an internal temperature of 70 degrees celsius, then dissected."
F007094,"Pork, scotch roast, lean, raw","Raw lean muscle meat from the forequarter of the carcase, with all possible internal and external separable fat removed."
F007093,"Pork, scotch roast, lean, baked, no added fat","Cooked pork from the forequarter of the carcase. Oven roasted, as purchased, at 180 degrees celsius to an internal temperature of 70 degrees celsius with no added fat. All possible internal and external separable fat removed after cooking."
F007089,"Pork, scotch roast, untrimmed, raw","Raw pork from the forequarter of the carcase, as purchased without removal of internal and external fat."
F007087,"Pork, scotch roast, untrimmed, baked, no added fat","Cooked pork from the forequarter of the carcase, as purchased without removal of internal and external separable fat. Oven roasted at 180 degrees celsius to an internal temperature of 70 degrees celsius with no added fat."
F007101,"Pork, silverside steak, lean, raw","Raw lean muscle meat from the hind portion of the carcase, with all possible internal and external separable fat removed."
F007100,"Pork, silverside steak, lean, fried, no added fat","Cooked lean muscle meat from the hind portion of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small amount of pork fat. All possible internal and external separable fat removed."
F007098,"Pork, silverside steak, untrimmed, raw","Raw pork from the hind portion of the carcase, as purchased without removal of internal and external fat."
F007117,"Pork, spare ribs, untrimmed, raw","Raw pork from the rib, as purchased without removal of internal and external fat."
F007113,"Pork, spare ribs, untrimmed, baked, no added fat","Pork from the rib, as purchased without removal of internal and external fat. Baked with no added fat."
F007128,"Pork, strips, untrimmed, raw","Raw lean pork strips, as purchased, likely to be from leg or shoulder steak."
F007127,"Pork, strips, untrimmed, fried, no added fat","Cooked lean pork strips, as purchased, likely to be from leg or shoulder steak. Fried to an internal temperature of 75 degrees celsius with a small amount of pork fat."
F007132,"Pork, topside steak, lean, raw","Raw lean muscle meat from the hind portion of the carcase, as purchased with no separable fat."
F007131,"Pork, topside steak, lean, fried, no added fat","Cooked lean muscle meat from the hind portion of the carcase. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small amount of pork fat. All possible internal and external separable fat removed."
F007130,"Pork, topside steak, untrimmed, fried, no added fat","Cooked pork from the hind portion of the carcase, as purchased without removal of internal and external separable fat. Fried, as purchased, to an internal temperature of 70 degrees celsius with a small amount of pork fat."
F002568,"Chicken, barbecued, with skin","Whole chicken with skin, cooked in a commercial rotisserie oven. Chicken is generally rubbed with oil, spices and salt. Does not include stuffing."
F002594,"Chicken, breast, lean flesh, raw","Raw flesh from breast portion of the chicken, with the skin and fat removed."
F002590,"Chicken, breast, lean flesh, baked, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Baked with no added fat."
F002593,"Chicken, breast, lean flesh, grilled, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Grilled with no added fat."
F002592,"Chicken, breast, lean flesh, fried, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Cut into thin strips and fried with no added fat."
F002591,"Chicken, breast, lean flesh, casseroled, no added fat","Flesh from breast portion of the chicken, with the skin and fat removed. Casseroled with added water then drained, no added fat."
F002597,"Chicken, breast, lean flesh, skin & fat, raw","Raw flesh, skin and fat from breast portion of a chicken."
F002595,"Chicken, breast, lean flesh, skin & fat, baked, no added fat","Flesh, skin and fat from the breast portion of a chicken. Baked with no added fat."
F002596,"Chicken, breast, lean flesh, skin & fat, casseroled, no added fat","Flesh, skin and fat from the breast portion of a chicken. Casseroled with added water then drained, no added fat."
F002647,"Chicken, drumstick, lean flesh, raw","Uncooked flesh from drumstick portion of a chicken, with the skin and fat removed."
F002645,"Chicken, drumstick, lean flesh, baked, no added fat","Flesh from drumstick portion of a chicken, with the skin and fat removed. Baked with no added fat."
